banana_id,day_number,days_remaining,split,file_path
1,1,7,train,"Banana Images Dataset\Banana1,1.jpeg"
2,1,7,train,"Banana Images Dataset\Banana2,1.jpeg"
3,1,7,train,"Banana Images Dataset\Banana3,1.jpeg"
4,1,7,train,"Banana Images Dataset\Banana4,1.jpeg"
5,1,7,train,"Banana Images Dataset\Banana5,1.jpeg"
6,1,7,train,"Banana Images Dataset\Banana6,1.jpeg"
7,1,7,train,"Banana Images Dataset\Banana7,1.jpeg"
8,1,7,train,"Banana Images Dataset\Banana8,1.jpeg"
9,1,7,train,"Banana Images Dataset\Banana9,1.jpeg"
10,1,7,test,"Banana Images Dataset\Banana10,1.jpeg"
11,1,7,test,"Banana Images Dataset\Banana11,1.jpeg"
12,1,7,test,"Banana Images Dataset\Banana12,1.jpeg"
1,2,6,train,"Banana Images Dataset\Banana1,2.jpeg"
2,2,6,train,"Banana Images Dataset\Banana2,2.jpeg"
3,2,6,train,"Banana Images Dataset\Banana3,2.jpeg"
4,2,6,train,"Banana Images Dataset\Banana4,2.jpeg"
5,2,6,train,"Banana Images Dataset\Banana5,2.jpeg"
6,2,6,train,"Banana Images Dataset\Banana6,2.jpeg"
7,2,6,train,"Banana Images Dataset\Banana7,2.jpeg"
8,2,6,train,"Banana Images Dataset\Banana8,2.jpeg"
9,2,6,train,"Banana Images Dataset\Banana9,2.jpeg"
10,2,6,test,"Banana Images Dataset\Banana10,2.jpeg"
11,2,6,test,"Banana Images Dataset\Banana11,2.jpeg"
12,2,6,test,"Banana Images Dataset\Banana12,2.jpeg"
1,3,5,train,"Banana Images Dataset\Banana1,3.jpeg"
2,3,5,train,"Banana Images Dataset\Banana2,3.jpeg"
3,3,5,train,"Banana Images Dataset\Banana3,3.jpeg"
4,3,5,train,"Banana Images Dataset\Banana4,3.jpeg"
5,3,5,train,"Banana Images Dataset\Banana5,3.jpeg"
6,3,5,train,"Banana Images Dataset\Banana6,3.jpeg"
7,3,5,train,"Banana Images Dataset\Banana7,3.jpeg"
8,3,5,train,"Banana Images Dataset\Banana8,3.jpeg"
9,3,5,train,"Banana Images Dataset\Banana9,3.jpeg"
10,3,5,test,"Banana Images Dataset\Banana10,3.jpeg"
11,3,5,test,"Banana Images Dataset\Banana11,3.jpeg"
12,3,5,test,"Banana Images Dataset\Banana12,3.jpeg"
1,4,4,train,"Banana Images Dataset\Banana1,4.jpeg"
2,4,4,train,"Banana Images Dataset\Banana2,4.jpeg"
3,4,4,train,"Banana Images Dataset\Banana3,4.jpeg"
4,4,4,train,"Banana Images Dataset\Banana4,4.jpeg"
5,4,4,train,"Banana Images Dataset\Banana5,4.jpeg"
6,4,4,train,"Banana Images Dataset\Banana6,4.jpeg"
7,4,4,train,"Banana Images Dataset\Banana7,4.jpeg"
8,4,4,train,"Banana Images Dataset\Banana8,4.jpeg"
9,4,4,train,"Banana Images Dataset\Banana9,4.jpeg"
10,4,4,test,"Banana Images Dataset\Banana10,4.jpeg"
11,4,4,test,"Banana Images Dataset\Banana11,4.jpeg"
12,4,4,test,"Banana Images Dataset\Banana12,4.jpeg"
1,5,3,train,"Banana Images Dataset\Banana1,5.jpeg"
2,5,3,train,"Banana Images Dataset\Banana2,5.jpeg"
3,5,3,train,"Banana Images Dataset\Banana3,5.jpeg"
4,5,3,train,"Banana Images Dataset\Banana4,5.jpeg"
5,5,3,train,"Banana Images Dataset\Banana5,5.jpeg"
6,5,3,train,"Banana Images Dataset\Banana6,5.jpeg"
7,5,3,train,"Banana Images Dataset\Banana7,5.jpeg"
8,5,3,train,"Banana Images Dataset\Banana8,5.jpeg"
9,5,3,train,"Banana Images Dataset\Banana9,5.jpeg"
10,5,3,test,"Banana Images Dataset\Banana10,5.jpeg"
11,5,3,test,"Banana Images Dataset\Banana11,5.jpeg"
12,5,3,test,"Banana Images Dataset\Banana12,5.jpeg"
1,6,2,train,"Banana Images Dataset\Banana1,6.jpeg"
2,6,2,train,"Banana Images Dataset\Banana2,6.jpeg"
3,6,2,train,"Banana Images Dataset\Banana3,6.jpeg"
4,6,2,train,"Banana Images Dataset\Banana4,6.jpeg"
5,6,2,train,"Banana Images Dataset\Banana5,6.jpeg"
6,6,2,train,"Banana Images Dataset\Banana6,6.jpeg"
7,6,2,train,"Banana Images Dataset\Banana7,6.jpeg"
8,6,2,train,"Banana Images Dataset\Banana8,6.jpeg"
9,6,2,train,"Banana Images Dataset\Banana9,6.jpeg"
10,6,2,test,"Banana Images Dataset\Banana10,6.jpeg"
11,6,2,test,"Banana Images Dataset\Banana11,6.jpeg"
12,6,2,test,"Banana Images Dataset\Banana12,6.jpeg"
1,7,1,train,"Banana Images Dataset\Banana1,7.jpeg"
2,7,1,train,"Banana Images Dataset\Banana2,7.jpeg"
3,7,1,train,"Banana Images Dataset\Banana3,7.jpeg"
4,7,1,train,"Banana Images Dataset\Banana4,7.jpeg"
5,7,1,train,"Banana Images Dataset\Banana5,7.jpeg"
6,7,1,train,"Banana Images Dataset\Banana6,7.jpeg"
7,7,1,train,"Banana Images Dataset\Banana7,7.jpeg"
8,7,1,train,"Banana Images Dataset\Banana8,7.jpeg"
9,7,1,train,"Banana Images Dataset\Banana9,7.jpeg"
10,7,1,test,"Banana Images Dataset\Banana10,7.jpeg"
11,7,1,test,"Banana Images Dataset\Banana11,7.jpeg"
12,7,1,test,"Banana Images Dataset\Banana12,7.jpeg"
1,8,0,train,"Banana Images Dataset\Banana1,8.jpeg"
2,8,0,train,"Banana Images Dataset\Banana2,8.jpeg"
3,8,0,train,"Banana Images Dataset\Banana3,8.jpeg"
4,8,0,train,"Banana Images Dataset\Banana4,8.jpeg"
5,8,0,train,"Banana Images Dataset\Banana5,8.jpeg"
6,8,0,train,"Banana Images Dataset\Banana6,8.jpeg"
7,8,0,train,"Banana Images Dataset\Banana7,8.jpeg"
8,8,0,train,"Banana Images Dataset\Banana8,8.jpeg"
9,8,0,train,"Banana Images Dataset\Banana9,8.jpeg"
10,8,0,test,"Banana Images Dataset\Banana10,8.jpeg"
11,8,0,test,"Banana Images Dataset\Banana11,8.jpeg"
12,8,0,test,"Banana Images Dataset\Banana12,8.jpeg"
